,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,song_title,artists,Popularity,popularity
0,0.0305,https://api.spotify.com/v1/audio-analysis/5kldIyD365H9iq8Cz1Jb5F,0.625,212286,0.836,5kldIyD365H9iq8Cz1Jb5F,0.0,8,0.0867,-2.884,0,0.224,105.023,4,https://api.spotify.com/v1/tracks/5kldIyD365H9iq8Cz1Jb5F,audio_features,spotify:track:5kldIyD365H9iq8Cz1Jb5F,0.675,2019-07-26T03:04:46Z,My Best Life (feat. Mike Waters),"KSHMR,Mike Waters",,62
1,0.262,https://api.spotify.com/v1/audio-analysis/2zzwSQ5xhBsZ5FoYv4IS82,0.725,214737,0.68,2zzwSQ5xhBsZ5FoYv4IS82,0.000418,0,0.111,-7.724,0,0.144,114.101,4,https://api.spotify.com/v1/tracks/2zzwSQ5xhBsZ5FoYv4IS82,audio_features,spotify:track:2zzwSQ5xhBsZ5FoYv4IS82,0.454,2019-07-25T21:30:52Z,Recognize (feat. Majid Jordan),"DJ Snake,Majid Jordan",,0
2,0.03,https://api.spotify.com/v1/audio-analysis/0pSL76Z9uhRAfFd09VmF24,0.585,231037,0.949,0pSL76Z9uhRAfFd09VmF24,0.78,5,0.109,-1.956,0,0.0398,159.941,4,https://api.spotify.com/v1/tracks/0pSL76Z9uhRAfFd09VmF24,audio_features,spotify:track:0pSL76Z9uhRAfFd09VmF24,0.592,2019-07-25T18:51:50Z,When The Lights Go Down,DJ Snake,,0
3,0.12,https://api.spotify.com/v1/audio-analysis/6wo37KVqFJhtuxPTpLCcfe,0.294,209893,0.505,6wo37KVqFJhtuxPTpLCcfe,0.0,3,0.0977,-8.106,1,0.042,85.332,1,https://api.spotify.com/v1/tracks/6wo37KVqFJhtuxPTpLCcfe,audio_features,spotify:track:6wo37KVqFJhtuxPTpLCcfe,0.357,2019-07-24T17:00:15Z,Takeaway (with ILLENIUM & Lennon Stella),"The Chainsmokers,ILLENIUM,Lennon Stella",,0
4,0.0666,https://api.spotify.com/v1/audio-analysis/2tG3ozpawkCEAYDDuvMEFh,0.635,220952,0.945,2tG3ozpawkCEAYDDuvMEFh,0.0712,2,0.0563,-3.678,0,0.0722,125.957,4,https://api.spotify.com/v1/tracks/2tG3ozpawkCEAYDDuvMEFh,audio_features,spotify:track:2tG3ozpawkCEAYDDuvMEFh,0.163,2019-07-22T23:40:58Z,Show Me,"Jasted,Foxa,Joellé",,30
5,0.463,https://api.spotify.com/v1/audio-analysis/5F2AuFzEiuAQD0JVNjVJQz,0.764,177653,0.725,5F2AuFzEiuAQD0JVNjVJQz,5.91e-06,7,0.109,-8.812,1,0.0576,100.063,4,https://api.spotify.com/v1/tracks/5F2AuFzEiuAQD0JVNjVJQz,audio_features,spotify:track:5F2AuFzEiuAQD0JVNjVJQz,0.0794,2019-07-21T18:22:41Z,Let Go,Beau Young Prince,,66
6,0.000281,https://api.spotify.com/v1/audio-analysis/1sJtUQHhEypas3n0xyIBfx,0.471,182273,0.921,1sJtUQHhEypas3n0xyIBfx,0.00183,2,0.636,-5.109,1,0.0816,132.074,4,https://api.spotify.com/v1/tracks/1sJtUQHhEypas3n0xyIBfx,audio_features,spotify:track:1sJtUQHhEypas3n0xyIBfx,0.151,2019-07-21T06:51:28Z,The Prophecy - KAAZE Remode,"Timmy Trumpet,Maddix,KAAZE",,38
7,0.0794,https://api.spotify.com/v1/audio-analysis/1z1Hg7Vb0AhHDiEmnDE79l,0.675,176616,0.931,1z1Hg7Vb0AhHDiEmnDE79l,2.33e-05,1,0.11,-3.432,0,0.0742,124.008,4,https://api.spotify.com/v1/tracks/1z1Hg7Vb0AhHDiEmnDE79l,audio_features,spotify:track:1z1Hg7Vb0AhHDiEmnDE79l,0.613,2019-07-21T05:49:56Z,All the Time - Don Diablo Remix,"Zara Larsson,Don Diablo",,63
8,0.166,https://api.spotify.com/v1/audio-analysis/3Kuu5vASpXK8oRsxOvau6P,0.673,208567,0.596,3Kuu5vASpXK8oRsxOvau6P,0.0,10,0.11,-7.891,1,0.0354,123.969,4,https://api.spotify.com/v1/tracks/3Kuu5vASpXK8oRsxOvau6P,audio_features,spotify:track:3Kuu5vASpXK8oRsxOvau6P,0.19,2019-07-21T05:49:14Z,Think About You,"Kygo,Valerie Broussard",,73
9,0.0976,https://api.spotify.com/v1/audio-analysis/4fC6tDEFmSBBCRBUOPeQ8b,0.621,181040,0.898,4fC6tDEFmSBBCRBUOPeQ8b,1.08e-05,10,0.404,-4.569,1,0.0401,124.018,4,https://api.spotify.com/v1/tracks/4fC6tDEFmSBBCRBUOPeQ8b,audio_features,spotify:track:4fC6tDEFmSBBCRBUOPeQ8b,0.332,2019-07-21T05:48:56Z,Think About You - Galantis Remix,"Kygo,Valerie Broussard,Galantis",,63
